TILENAME,RA,DEC,RAC1,RAC2,RAC3,RAC4,DECC1,DECC2,DECC3,DECC4,RACMIN,RACMAX,DECCMIN,DECCMAX,URAL,URAU,UDECL,UDECU,CROSSRAZERO,PIXELSCALE,NAXIS1,NAXIS2,CRPIX1,CRPIX2,CRVAL1,CRVAL2,CD1_1,CD1_2,CD2_1,CD2_2
DES0457-5748,74.45991186,-57.80833333,75.15246438,73.76735934,73.78124308,75.13858064,-58.17169418,-58.17169418,-57.44127386,-57.44127386,73.76735934,75.15246438,-58.17169418,-57.44127386,73.78991223,75.12991149,-58.16527778,-57.45138889,N,0.26300001,10000,10000,5000.50000000,5000.50000000,74.45991186,-57.80833333,-0.00007306,0.00000000,0.00000000,0.00007306
DES0454-4957,73.67116036,-49.95555556,74.24317012,73.09915060,73.10776218,74.23455853,-50.31938872,-50.31938872,-49.58895197,-49.58895197,73.09915060,74.24317012,-50.31938872,-49.58895197,73.11636609,74.22595462,-50.31250000,-49.59861111,N,0.26300001,10000,10000,5000.50000000,5000.50000000,73.67116036,-49.95555556,-0.00007306,0.00000000,0.00000000,0.00007306
DES0420-5748,65.07991705,-57.80833333,65.77246956,64.38736453,64.40124827,65.75858582,-58.17169418,-58.17169418,-57.44127386,-57.44127386,64.38736453,65.77246956,-58.17169418,-57.44127386,64.40991742,65.74991667,-58.16527778,-57.45138889,N,0.26300001,10000,10000,5000.50000000,5000.50000000,65.07991705,-57.80833333,-0.00007306,0.00000000,0.00000000,0.00007306
DES0423-4748,65.95463003,-47.81388889,66.50235123,65.40690883,65.41455957,66.49470049,-48.17782423,-48.17782423,-47.44738453,-47.44738453,65.40690883,66.50235123,-48.17782423,-47.44738453,65.42309964,66.48616042,-48.17083333,-47.45694444,N,0.26300001,10000,10000,5000.50000000,5000.50000000,65.95463003,-47.81388889,-0.00007306,0.00000000,0.00000000,0.00007306
DES0420-5331,65.10986876,-53.52500000,65.72958451,64.49015301,64.50074812,65.71898940,-53.88864058,-53.88864058,-53.15820997,-53.15820997,64.49015301,65.72958451,-53.88864058,-53.15820997,64.50942928,65.71030823,-53.88194444,-53.16805556,N,0.26300001,10000,10000,5000.50000000,5000.50000000,65.10986876,-53.52500000,-0.00007306,0.00000000,0.00000000,0.00007306
DES0424-5248,66.17642267,-52.81111111,66.78577873,65.56706660,65.57721978,66.77562555,-53.17479275,-53.17479275,-52.44436076,-52.44436076,65.56706660,66.78577873,-53.17479275,-52.44436076,65.58588976,66.76695557,-53.16805556,-52.45416667,N,0.26300001,10000,10000,5000.50000000,5000.50000000,66.17642267,-52.81111111,-0.00007306,0.00000000,0.00000000,0.00007306
DES0527-5957,81.79794853,-59.95000000,82.53541473,81.06048234,81.07655580,82.51934127,-60.31319429,-60.31319429,-59.58278087,-59.58278087,81.06048234,82.53541473,-60.31319429,-59.58278087,81.08513679,82.51076028,-60.30694444,-59.59305556,N,0.26300001,10000,10000,5000.50000000,5000.50000000,81.79794853,-59.95000000,-0.00007306,0.00000000,0.00000000,0.00007306
DES0543-6414,85.79182805,-64.23333333,86.64321027,84.94044582,84.96263667,86.62101942,-64.59611840,-64.59611840,-63.86572433,-63.86572433,84.94044582,86.64321027,-64.59611840,-63.86572433,84.97071349,86.61294261,-64.59027778,-63.87638889,N,0.26300001,10000,10000,5000.50000000,5000.50000000,85.79182805,-64.23333333,-0.00007306,0.00000000,0.00000000,0.00007306
DES0545-6122,86.38137432,-61.37777778,87.15279570,85.60995295,85.62776500,87.13498365,-61.74084837,-61.74084837,-61.01044044,-61.01044044,85.60995295,87.15279570,-61.74084837,-61.01044044,85.63623791,87.12651073,-61.73472222,-61.02083333,N,0.26300001,10000,10000,5000.50000000,5000.50000000,86.38137432,-61.37777778,-0.00007306,0.00000000,0.00000000,0.00007306
DES0530-6414,82.50736982,-64.23333333,83.35875204,81.65598759,81.67817844,83.33656119,-64.59611840,-64.59611840,-63.86572433,-63.86572433,81.65598759,83.35875204,-64.59611840,-63.86572433,81.68625526,83.32848437,-64.59027778,-63.87638889,N,0.26300001,10000,10000,5000.50000000,5000.50000000,82.50736982,-64.23333333,-0.00007306,0.00000000,0.00000000,0.00007306
